
time;ax;ay;az;wx;wy;wz;
13,425820;-0,2489;-0,5882;1,0623;-0,0023;0,0310;0,0052;
13,525875;0,8270;0,7013;0,6089;-0,0121;-0,0228;-0,0486;
13,626312;0,0595;0,4487;1,4956;0,0661;0,0053;-0,0278;
13,726733;-0,8331;-0,5237;1,4745;0,0942;0,0261;0,0321;
13,826969;0,8231;0,3601;1,9646;0,0478;0,0212;0,0150;
13,927004;0,2536;-0,2117;1,2140;-0,0402;-0,0069;0,0247;
14,026870;0,5663;-1,0659;0,9550;-0,0536;0,0176;0,0199;
14,126982;0,1635;-0,4215;1,3247;-0,0353;0,0102;0,0113;
14,227374;-0,1317;-0,7379;0,5130;-0,0866;-0,0276;0,0076;
14,327309;0,2556;-0,4062;0,7155;0,0649;-0,0301;0,0260;
14,427330;0,3967;-0,2159;1,1784;0,0417;0,0481;0,0284;
14,527819;0,2068;0,4076;0,3493;0,0625;0,0371;-0,0339;
14,628202;-0,1836;0,9936;0,4510;0,0087;0,0200;0,0040;
14,728332;-0,3684;-0,0943;0,3064;-0,0695;0,0212;0,0003;
14,828563;-0,2472;-0,4436;1,1649;-0,0634;0,0469;0,0101;
14,929313;0,5443;-0,0959;1,5256;-0,0023;0,0408;0,0443;
15,029280;-0,1987;-0,0025;1,1477;-0,0011;0,0383;0,0150;
15,129466;-0,0525;-0,3691;1,3128;0,0441;0,0664;0,0883;
15,229486;0,1785;-0,5210;0,8307;0,0246;0,1080;0,0932;
15,329749;0,1099;-0,6154;0,3414;-0,0426;0,0224;0,0406;
15,429753;-0,3089;0,6901;0,9243;0,0246;0,0334;-0,0425;
15,529995;0,7626;0,7763;0,9883;-0,0145;0,0518;-0,0657;
15,629613;-0,4826;0,2520;0,8862;0,0576;0,0799;0,0565;
15,730451;0,3787;-0,0175;-0,2344;0,0918;0,1043;0,0541;
15,830150;-0,9125;0,4093;-2,4735;0,0820;0,0823;0,0480;
15,930263;-0,8882;0,0355;-2,5504;-0,0145;0,0689;0,0272;
16,030685;-0,8361;0,4166;-1,7524;0,0722;0,1006;-0,0095;
16,130721;-0,8474;0,3157;-1,2405;0,0173;0,1300;0,0101;
16,230709;-2,1256;0,6591;-0,8949;0,0930;0,1593;0,0418;
16,331033;-1,2161;0,6177;-1,5829;0,0368;0,1813;0,0748;
16,431060;-0,5739;0,5434;-1,3163;0,0368;0,2179;0,0809;
16,531003;-1,0506;0,6202;-1,1230;0,0319;0,2411;0,0773;
16,631259;-1,1361;-0,4490;-1,7241;0,0246;0,2986;0,0321;
16,731248;-1,3322;0,6922;-0,9167;0,0331;0,3499;0,0797;
16,831442;-2,1281;0,0867;-1,9040;0,0173;0,3804;0,0651;
16,931428;-2,5963;0,5129;-2,2741;0,0099;0,5087;0,0541;
17,031531;-2,3039;0,7996;-1,1283;0,0600;0,6089;0,0651;
17,131596;-2,5360;-0,8117;-2,1071;-0,0817;0,6321;0,1103;
17,232828;-3,0383;-0,4952;-2,9082;-0,0964;0,5783;0,1689;
17,332359;-3,9893;-0,5081;-1,7360;-0,0878;0,6846;0,2104;
17,433136;-3,3180;0,2165;-1,1591;0,0197;0,7579;0,1445;
17,533156;-3,0360;0,1069;-0,9476;0,0038;0,8911;-0,0156;
17,633695;-4,1228;0,2884;-0,5439;-0,0658;0,8911;0,1432;
17,733731;-3,4397;-1,9036;-0,7523;-0,0780;0,8630;0,1604;
17,833877;-4,6176;-1,0011;0,2114;-0,1037;0,8190;0,1836;
