
time;ax;ay;az;wx;wy;wz;
15,431728;3,1901;0,2846;-0,3548;0,0284;-0,2349;-0,1197;
15,531760;2,7595;-1,0110;-1,1784;-0,0669;-0,3192;-0,1222;
15,631670;2,4880;-0,1402;-0,5883;0,0089;-0,2422;-0,0660;
15,732024;2,4654;-0,1922;-0,0207;-0,0376;-0,2275;-0,0733;
15,832278;2,2157;0,0248;-0,4282;0,0308;-0,2911;-0,1234;
15,932670;2,8482;1,2410;-0,0916;0,0150;-0,1982;-0,0941;
16,032547;2,3376;0,5267;0,0606;0,0504;-0,2068;-0,1112;
16,132694;1,3064;-1,4172;-1,4804;-0,0889;-0,2178;-0,0428;
16,233188;1,5509;-0,1980;0,4026;-0,0021;-0,1799;-0,1442;
16,333704;1,3089;0,3039;-0,0124;-0,0315;-0,1261;-0,0990;
16,434167;0,6840;0,5037;0,9596;0,0272;-0,1115;-0,0318;
16,533742;0,6321;-1,4098;-1,5771;-0,1109;-0,1445;-0,1344;
16,634363;-0,3822;-0,1322;0,5063;0,0076;-0,0602;-0,0244;
16,734131;-0,4326;-1,2437;0,0476;-0,0400;-0,0113;0,0379;
16,834276;-0,2398;-0,3855;-0,6915;-0,0180;-0,0455;-0,0073;
16,934801;0,3712;0,1028;1,0847;0,0528;0,0486;0,0342;
17,035072;0,1886;-0,1809;-0,5382;-0,0290;-0,0577;0,0073;
17,134887;0,4638;0,4195;-0,7335;0,0076;-0,0174;-0,0061;
17,235493;0,8072;0,0640;0,0840;0,0076;-0,0467;-0,1552;
17,335626;-0,6799;-0,3976;-0,2361;-0,0486;-0,0492;-0,0244;
17,435693;0,1166;-0,1462;-0,1882;-0,0522;-0,0321;-0,0098;
17,535639;-0,5881;-0,0209;0,2454;0,0027;-0,0089;0,1051;
17,635674;0,3946;1,7831;1,9674;0,0895;0,0412;-0,0550;
17,736149;-0,2859;-1,0546;-0,8536;-0,0596;0,0254;0,0464;
17,836249;0,3787;-0,8892;-0,3782;0,0956;-0,0247;-0,0122;
17,936671;0,8455;0,3794;1,0451;-0,0266;0,0290;-0,0635;
18,036674;-0,6109;-0,1382;1,1107;0,0565;-0,0541;-0,0305;
18,136760;0,9177;0,8647;0,5389;0,0223;0,0412;-0,0819;
18,237076;0,4975;0,4594;0,3743;0,0211;0,0278;-0,0293;
18,337257;-0,3405;-0,3613;0,7068;0,0052;-0,0150;0,0367;
18,437566;0,3701;-0,9954;0,7721;0,0455;-0,0064;-0,0110;
18,537746;-0,7662;-0,2105;1,2411;0,0443;-0,0333;0,0501;
18,639504;0,1052;0,7661;1,1845;0,0308;0,0363;-0,0513;
18,738690;-0,1000;-0,7003;0,0234;-0,0571;0,0925;0,0452;
18,839111;-0,0922;1,0934;1,2941;-0,0070;-0,0015;-0,0330;
18,939258;0,6720;-0,0012;0,1554;0,0296;0,0412;0,0122;
