
time;ax;ay;az;wx;wy;wz;
14,176611;1,5855;-0,0863;-0,6568;-0,0278;-0,0191;-0,0658;
14,277194;0,4092;0,8575;0,4619;0,0003;-0,0081;-0,0487;
14,378464;0,4970;-0,5771;0,0961;-0,0388;-0,0411;-0,0536;
14,479195;1,6590;0,7547;1,6935;0,0480;0,0554;-0,0976;
14,580151;0,3051;-1,2466;-0,4440;-0,0339;-0,0606;-0,0622;
14,682265;0,3079;0,0104;-0,0249;-0,0608;-0,0997;-0,0756;
14,782728;0,2888;-0,8556;-0,2608;-0,0473;-0,0374;0,0136;
14,882858;0,7468;0,7076;0,5020;0,0076;-0,0509;-0,0365;
14,983690;-0,1317;-0,0744;0,3326;0,0174;-0,0252;-0,0047;
15,085364;0,2538;0,0988;0,5079;0,0247;0,0188;0,0441;
15,185415;-0,3463;-0,8099;-0,7035;-0,0742;0,0286;0,0698;
15,286498;-1,0608;-1,8030;-0,3272;-0,0657;-0,0411;0,0942;
15,387933;1,0765;-0,7754;0,6079;-0,1072;-0,0264;-0,0206;
15,488688;-0,2124;1,9389;0,3097;-0,1316;0,1605;0,0234;
15,589703;-0,3587;-2,1622;0,8797;0,1017;-0,1645;-0,0463;
15,690212;-1,3762;0,1040;-0,2601;0,1200;-0,0032;0,0735;
15,790733;0,0495;1,2178;0,0062;-0,2660;-0,0606;-0,0426;
15,891687;0,3555;1,1816;1,9014;0,1579;0,0799;-0,0157;
15,992670;-0,6073;0,1130;0,1899;-0,0522;0,0396;0,0857;
16,093798;0,1643;-0,9819;-1,3315;0,0137;-0,0619;-0,1171;
16,193691;0,1470;0,9006;0,3643;0,0260;0,0249;-0,0622;
16,294230;-0,6744;0,0222;0,2276;-0,0767;-0,0606;0,0209;
16,394852;0,5484;-0,3723;0,0224;0,0431;0,0322;-0,0780;
16,494920;0,0037;-0,3185;-0,4464;-0,0168;0,0139;-0,0206;
16,596656;-0,6393;-0,4433;-0,2434;0,0308;0,0029;0,0600;
